City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Margate,GB,2022-01-06 05:02:03,51.3813,1.3862,33.31,92,7,8.97
231,Namtsy,RU,2022-01-06 05:02:03,62.7161,129.6658,-50.69,100,80,1.23
232,Kutum,SD,2022-01-06 05:02:04,14.2,24.6667,55.47,34,17,5.32
233,Kavaratti,IN,2022-01-06 05:02:04,10.5669,72.642,80.47,68,28,9.1
234,Esperance,AU,2022-01-06 05:02:05,-33.8667,121.9,74.66,53,0,19.17
235,Sao Joao Da Barra,BR,2022-01-06 05:02:05,-21.6403,-41.0511,75.79,88,100,11.65
236,Djambala,CG,2022-01-06 05:02:06,-2.5447,14.7533,67.24,80,81,3.0
237,Quzhou,CN,2022-01-06 05:02:06,28.9594,118.8686,49.46,75,100,10.51
238,Pisco,PE,2022-01-06 05:02:07,-13.7,-76.2167,70.02,89,100,1.07
239,San Patricio,US,2022-01-06 05:02:07,28.017,-97.5169,69.89,92,0,4.68
240,Vangaindrano,MG,2022-01-06 05:02:07,-23.35,47.6,76.15,83,98,8.08
241,Khelyulya,RU,2022-01-06 05:02:08,61.7333,30.6833,18.93,96,90,8.03
242,Tourlaville,FR,2022-01-06 05:02:08,49.6383,-1.5664,43.66,65,90,0.0
243,Valparaiso,CL,2022-01-06 04:57:47,-33.0393,-71.6273,58.64,88,20,3.44
244,Lorengau,PG,2022-01-06 05:01:16,-2.0226,147.2712,83.59,67,99,13.09
245,Najran,SA,2022-01-06 05:02:09,17.4924,44.1277,56.73,59,63,3.62
246,Matay,EG,2022-01-06 05:02:10,28.419,30.7792,50.83,73,40,5.59
247,Miri,MY,2022-01-06 05:02:10,4.4148,114.0089,83.71,70,46,7.7
248,Kuloy,RU,2022-01-06 05:02:10,61.0305,42.4925,14.45,93,100,9.17
249,Aksarka,RU,2022-01-06 05:02:11,66.5606,67.7975,-34.94,96,7,4.81
250,Khor,RU,2022-01-06 05:02:11,47.8861,134.9464,-1.08,87,52,5.12
251,Ilulissat,GL,2022-01-06 05:02:12,69.2167,-51.1,21.22,86,75,2.3
252,Balsas,BR,2022-01-06 05:02:12,-7.5325,-46.0356,72.37,96,100,1.79
253,Baghdad,IQ,2022-01-06 05:00:42,33.3406,44.4009,48.11,59,0,10.13
254,Norman Wells,CA,2022-01-06 05:02:13,65.282,-126.8329,-5.15,79,97,1.5
255,Bela,IN,2022-01-06 05:02:13,25.9333,81.9833,65.12,52,100,4.43
256,Cabo San Lucas,MX,2022-01-06 04:58:50,22.8909,-109.9124,70.52,72,0,3.53
257,Mombetsu,JP,2022-01-06 05:00:36,44.3525,143.3525,23.86,86,75,9.22
258,Krasnoselkup,RU,2022-01-06 05:02:14,65.7,82.4667,-26.18,97,84,10.8
259,Fort Nelson,CA,2022-01-06 05:00:15,58.8053,-122.7002,-38.27,100,27,1.39
260,Nikolskoye,RU,2022-01-06 05:02:14,59.7035,30.7861,30.09,98,99,5.03
261,Longyearbyen,SJ,2022-01-06 05:01:17,78.2186,15.6401,6.76,93,100,6.38
262,Doha,QA,2022-01-06 04:57:56,25.2867,51.5333,58.98,67,0,11.5
263,Narsaq,GL,2022-01-06 05:02:15,60.9167,-46.05,21.42,76,100,22.91
264,Skjervoy,NO,2022-01-06 05:02:16,70.0311,20.9714,29.93,57,92,17.47
265,Aden,YE,2022-01-06 05:02:16,12.7794,45.0367,77.81,78,92,14.63
266,Kone,NC,2022-01-06 05:02:17,-21.0595,164.8658,84.54,73,100,2.35
267,Namie,JP,2022-01-06 05:02:17,37.4833,141.0,44.98,40,82,5.12
268,Leshukonskoye,RU,2022-01-06 05:02:17,64.8989,45.7622,14.67,94,100,9.8
269,Ondjiva,AO,2022-01-06 05:02:18,-17.0667,15.7333,66.65,44,78,4.94
270,Pilar,BR,2022-01-06 05:02:18,-9.5972,-35.9567,75.13,84,43,4.29
271,Belyy Yar,RU,2022-01-06 05:03:19,53.6039,91.3903,19.29,86,75,0.0
272,Lagoa,PT,2022-01-06 05:03:07,39.05,-27.9833,59.23,67,100,21.16
273,Saint-Pierre,RE,2022-01-06 05:03:19,-21.3393,55.4781,83.88,65,0,5.75
274,Kapaa,US,2022-01-06 05:03:20,22.0752,-159.319,75.18,84,24,4.99
275,Kodiak,US,2022-01-06 05:03:20,57.79,-152.4072,33.01,72,100,24.49
276,Lalganj,IN,2022-01-06 05:03:21,25.8667,85.1833,53.55,41,86,7.58
277,Castanhal,BR,2022-01-06 05:03:21,-1.2939,-47.9264,74.79,98,74,2.33
278,Partur,IN,2022-01-06 05:03:22,19.6,76.2167,77.36,41,2,7.38
279,Faya,SA,2022-01-06 05:03:22,18.3851,42.4509,52.68,81,71,3.76
280,Hobyo,SO,2022-01-06 05:03:23,5.3505,48.5268,80.35,68,40,18.43
281,Bambous Virieux,MU,2022-01-06 05:03:23,-20.3428,57.7575,83.21,76,92,9.64
282,Sibiti,CG,2022-01-06 05:03:24,-3.6819,13.3499,68.09,97,100,1.14
283,Kirando,TZ,2022-01-06 05:03:24,-7.4167,30.6,72.19,84,100,9.08
284,Abong Mbang,CM,2022-01-06 05:03:25,3.9833,13.1833,64.47,52,100,2.24
285,Leningradskiy,RU,2022-01-06 05:03:25,69.3833,178.4167,0.0,90,31,2.13
286,Tura,IN,2022-01-06 05:03:25,25.5198,90.2201,73.53,40,34,2.62
287,Poum,NC,2022-01-06 05:03:26,-20.2333,164.0167,82.31,76,97,9.04
288,Mazamari,PE,2022-01-06 05:03:26,-11.3258,-74.5308,69.06,98,98,2.3
289,Neiafu,TO,2022-01-06 05:03:28,-18.65,-173.9833,83.08,69,100,4.52
290,Barcelos,PT,2022-01-06 05:03:29,41.5388,-8.6151,45.91,93,9,3.69
291,Marang,MY,2022-01-06 05:03:29,5.2056,103.2059,82.09,70,99,7.92
292,Samarai,PG,2022-01-06 05:03:30,-10.6167,150.6667,83.39,75,92,13.69
293,Georgetown,MY,2022-01-06 05:03:30,5.4112,100.3354,89.53,67,20,1.99
